Sr No,Blood Bank Name,State,District,City,Address,Pincode,Contact No,Mobile,Helpline,Fax,Email,Website,Nodal Officer,Contact Nodal Officer,Mobile Nodal Officer,Email Nodal Officer,Qualification Nodal Officer,Category,Blood Component Available,Apheresis,Service Time,License #,Date License Obtained,Date of Renewal,Latitude,Longitude
2076,Siventhi Blood Bank (Siventhi Medical Trust),Tamil Nadu,Kanyakumari,Nagerkoil,"1/1  344 -A, M.S. Road,  Nagarkovil",629003,"04652 221221, 04652 221331",9894216218,,,,,,,,,,Charity,NO,,24x7,,,,0,0
715,S. N. Chakraborty Memorial Chakraborty Nursing Home Blood Bank,Jharkhand,DHANBAD,Dhanbad,"Debraj Complex, Dhansar, Dhanbad",828106,0326 2303621,9939900855,,,ranjansnh6@gmail.com,,Dr. C.S. Suman,0326 2303621,7765044779,drcsuman@gmail.com,"MBBS, DCP",Private,NO,NO,24X7,JH/BB/25/2010,29-01-2010,28-01-2015,0,0
1104,Saint Josephs Hospital Blood Bank,Kerala,THRISSUR,Choondal,,680502,04885 237185,8891191379,,,,,,04885 237185,,,,Private,NO,NO,24x7,074/28C/KER/DC-CLAA/97,5/5/1997,Pending,10.616859,76.094656
1566,Plasma Diagnostic Lab and Blood Bank,Maharashtra,THANE,Thane,"Meghdoot, Building, Gopal Nagar, Hotel Janaki, Opposite to Manjunath School, Dombivali( E)",421201,"0251 2802491, 0251 2453568, 0251 2438078",9820327325,,,,,Dr. Hasan Shah,"0251 2431932, 0251 2453568",9820327325,plasmatrust@gmail.com,MD (Pathology),Charity,YES,,24x7,KD/111,11/2/2009,11/1/2014,19.215794,73.096159
1128,Indira Gandhi Hospital Blood Bank,Lakshadweep,LAKSHADWEEP DISTRICT,Lakshadweep,"Kavaratti Island, UT of Lakshadweep",,,,,,,,,,,,,Government,,,,,,,0,0
360,Indian Red Cross Society (IRCS) Blood Bank,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Silvassa,"IRCS Red Cross House, Opposite to Bus Stand",396230,"0260 2640911, 0260 2640577",9824171269,NA,NA,NA,,Dr. Rajesh Shah,0260 2640911,9824171269,NA,MD,Charity,YES,NO,24X7,NH/BB/01,30-10-2003,30-10-2013,20.276266,73.008306
990,M/s. Al-Azhar Medical College & Super Speciality Hospital Blood Bank,Kerala,IDUKKI,Thodupuzha,"Building No. IV/305/A, Ezhalloor Post, Thodupuzha, Idukki",685605,04862 223000,9447773511,0486 223000,,info@aamc.org.in,http://www.aamc.org.in/,Mr. Santosh,04862 223000,9447773511,info@aamc.org.in,Lab Technician,Private,NO,NO,24x7,225/28C/KER/DC-CLAA/2015,1/2/2015,1/1/2020,9.940275,76.721012
2606,Lokpriya Hospital Blood Bank,Uttar Pradesh,MEERUT,Meerut,"Samrat Palace, Garh Road",250003,0121 2760040,,,0121 27770114,,,Dr. R.K.Agarwal,,9557044475,,MD (Pathology),Private,YES,YES,24x7,14 SC/P/OF 1998,31-12-2021,,28.968374,77.730585
1209,Gurjar Hospital and Endoscopy Centre Private Limited Blood Bank,Madhya Pradesh,INDORE,Indore,"44 B, Bhawarkuan Chouraha, A.B. Road",452009,"0731 2363716, 0731 2363717, 0731 2363718",9993172869,,,,http://www.gurjarhospital.in/,,,,,,,,,,,,,22.691901,75.866108
1112,Mother Hospital Blood Bank,Kerala,THRISSUR,Pullazhi,Olarikkara,680012,"0487 2434100, 0487 2361091",,,,,,,"0487 2434100, 0487 2361091",,,,Private,NO,NO,24x7,064/28C/KER/DC-CLAA/97,17-04-1997,31-12-2017,10.519157,76.185077
655,Chamba Regional Hospital Blood Bank,Himachal Pradesh,CHAMBA,Chamba,"Regional Hospital, Chamba",176310,01899 222210,9418069485,,01899 223010,,,Dr. Subhash Chauhan,01899 222210,09418732007,bbank007@gmail.com,MBBS,Government,NO,NO,24X7,MB/97/02,04-03-1997,Under Process,32.558834,76.12246
298,Government Multispeciality Hospital Blood Bank,Chandigarh,CHANDIGARH,Chandigarh,"Blood Bank, Government Multispeciality Hospital, Room No. 164 Sector 16 Chandigarh.",160016,0172 2701288,7837318512,NA,NA,bloodbankgmsh16@gmail.com,,Dr. Simerjit Kaur Sidhu,0172-2701288,7837318512,simerjit.gill@rediffmail.com,MD (Pathology),Government,NO,NO,24 x 7,7694/MB,22/9/1994,31/12/2016,30.751021,76.780967
1143,Indian Red7091 Cross Society (IRCS) Blood Bank,Madhya Pradesh,BHOPAL,Bhopal,"Indian Red Cross Society, Shivaji Nagar, Near J P Hospital",462016,0755 2526108,9303132652,,,,,Dr. O.P. Shrivastava,0755 2526108,9303132652,dropshrivastava@yahoo.co.in,MD (Pathology & Microbiology),Private,NO,NO,24x7,28C/39/97,18-12-2014,17-12-2019,23.2307,77.419553
2133,S Palaniyandi Mudaliar Memorial Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"No. 29 Cuddalore Road,  Ammapet, Salem",636003,"0427 2244500, 0427 2240394, 0427 2240395",099946 46314,N/A,0427 2244510,spmmhospital@gmail.com,http://www.spmmhospital.com,S. Madheswaran,"0427 2244500, 0427 2240394, 0427 2240395",099946 46314,spmmhospital@gmail.com,DMLT,Charity,NO,NO,24x7,173/28 C,20-03-2002,19-03-2017,11.661224,78.192156
382,Mission Jan Jagriti Blood Bank,Delhi,NORTH EAST DELHI,Delhi,"MGS Hospital, 35/37 Rohtak road, West Punjabi Bagh, Adjacent to Maharaja Aggarsen Hospital, Near Shivali park metro station",110026,011 47053443,9811210662,,,"bhupendersingh@yahoo.in, info@missionjanjagriti.org",http://www.missionjanjagriti.org/,Dr. Bhaitya,1147053443,9811210662,drnkbhatia@yahoo.com,MD (Pathology),Charity,YES,YES,9:30 - 5:30pm,C(0013)/14/BB,19.06.2014,18.06.2019,28.606008,77.295437
2368,Bhaskar Medical College and General Hospital Blood Bank,Telangana,RANGAREDDY,Ranga Reddy,"Sy. No.220, 221/2 & 228, Yenkapally Village, Moinabad Mandal",,08413 235446 Extn: 214,,,,,,,,,bhaskarmc@gmail.com,,Private,,,,,,,0,0
376,Pushpawati Singhania Research Institute Blood bank,Delhi,NEW DELHI,New Delhi,"Press Enclave Marg, Sheikh Sarai, Phase-II",110017,1130611780,8375968248,,011 29252516,bloodbank@psri.net,http://www.psrihospital.com/,Dr.Dushyant Singh Rawat,1130611871,9818775177,"inchargebloodbank@psri.net, bloodbank@psri.net","MBBS, DIHB",Private,YES,YES,24x7,1745,Dec-11,31.12.2016,28.533218,77.225185
2699,H.N. Bahuguna Government Base Hospital Blood Bank,Uttarakhand,PAURI GARHWAL,Srinagar,"Base Hospital, Badrinath Road, Srinagar",246174,01346 222706,9412040359,N/A,N/A,N/A,,Dr. Satish Kumar,9412040359,9412040359,N/A,N/A,Government,YES,NO,24x7,N/A,N/A,N/A,30.222802,78.816142
1470,J.D.C. Bytco Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik",422101,"0253 2460251, 0253 24605352",,,,,,Dr. S. V. Nayak,,9860268411,,"MD, DVD",Government,NO,NO,,NKD/5,30-12-1992,31-12-2016,19.949132,73.838742
1687,HAL Hospital Blood Bank,Odisha,KORAPUT,Sunabeda,"Sunabeda, Koraput",763002,"06853 220234, 06583 220572",,,,halhospitalbloodbank@yahoo.com,,Dr. Prasanta Kumar Behera,06583 220572,8895453300,drprasanta_kb@rediffmail.com,,Government,NO,,24x7,239,2/12/1982,,18.729641,82.8215279
524,GMERS Medical College and Hospital Blood Bank Dharpur,Gujarat,PATAN,Patan,"Blood Bank, GMERS Medical College, Dharpur, Patan",N/A,02766 233311,7567889901,,,"bb001dharpur@gmail.com, drvipul09@gmail.com",,Dr. B. H. Parmar,7567889901,7567889901,"bb001dharpur@gmail.com, drvipul09@gmail.com",MD,Government,NO,NO,24X7,GB/166,24-02-2012,23-02-2017,23.84643,72.191676
2261,Share Medical Care (Mediciti Hospital) Blood Bank,Telangana,HYDERABAD,Hyderabad,"D.No. 5-9-22/B/103, Flat No.103, First Floor, My Home Sarovar Complex, Secretariat Road",500063,040 23231111,NA,NA,NA,info@medicitihospitals.com,,Dr. Laxmi Joythi,040 23231111,NA,info@medicitihospitals.com,MBBS,Private,YES,NO,24x7,124/HD/AP/1998/BB/R,21-10-1998,19-09-2016,17.406546,78.471614
1727,Sri Lakshminarayana Institute of Medical Sciences Blood Bank,Puducherry,Puducherry,Puducherry,"Osudu Agaram Village, Villianur Commune, Kudapakkam, Post, Opposite Oostheri Lake",605502,"0413 2299218, 2299219",N/A,N/A,N/A,rddocp@yahoo.com,http://www.slims.ac.in,Dr Roseline Deepa Dumont,0413 2299218,7708255948,deepadumont@gmail.com,"MBBS, PGDCP",Charity,YES,NO,24x7,6251669,15-02-2011,Awaited for Renewal Copy,11.938014,79.737529
66,Saint Ann&#39;s Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2",520 002,0866 2572057,NA,NA,NA,annshospitall@gmail.com,,Dr. Rama,NA,9849668937,NA,MBBS,Private,NO,NO,24x7,163/KR/AP/2001/BB/R,07.08.2001,31.12.2017,0,0
1732,Yanam Old Age Home Blood Bank,Puducherry,Puducherry,Yanam,"D.no:7-4-055, Old Rajeev Nagar, River bank, Yanam",533464,8842324933,8842324933,N/A,N/A,yoah.eb.bb@gmail.com,,Dr. C.H. RamaKrishna Rao,0413 2324933,9866448704,ramakrishnaraochelikani@outlook.com,MBBS,Charity,NO,NO,24x7,8252240,19-06-2008,,16.729453,82.216893
822,Columbia Asia Referral Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"26/4, Brigade Gateway, Beside Metro Cash and Carry West West, Malleshwaram,",560055,080 39898968,9972461925,"080 39898969, 080 61656262",080 30925454,,http://www.india.columbiaasia.com/,Dr. Jayashree D Kulkarni,080 39898968,9449040542,jayashree.kulkarni@columbiaasia.com,Medical Officer,Private,YES,YES,24x7,KTK/28C-225/2009,3/11/2009,1/11/2019,13.014167,77.556035
1183,Shri Guruji Raktkosh Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,"Run by Taranekar Samiti Seva Nyas, Gwalior",474001,,,,,,,,,,,,,,,,,,,0,0
362,Diu District Blood Bank,Daman and Diu,DIU,Diu,"Govt Hospital, Near Sports Complex, Main Road, DIU",362520,02875 252480,8980034725,,02875 255080,diu.bloodbank@yahoo.com,,Dr. S. S. Sahoo,02875 252480,8980034725,drsssahoo1970@gmail.com,"MBBS, Fellowship in HIV Medicine, Diploma in Tropical Medicine",Government,NO,NO,24X7,DD/725,15/01/2014,valid upto 14/01/2019,20.712855,70.988929
527,General Hospital Blood Bank Porbandar,Gujarat,PORBANDAR,Porbandar,"Blood Bank, General Hospital, Porbandar",360575,0286 2242910,"09099079158, 09979882775",,,"dr.l.a.dhamelia@gmail.com, bhp.lab.bb@gmail.com",,Dr. Leeza Dhamelia,9979882775,9979882775,"dr.l.a.dhamelia@gmail.com, bhp.lab.bb@gmail.com",MD,Government,NO,NO,24X7,GB/719,14-06-2008,13-06-2013,21.636578,69.628472
158,Silchar Medical College and Hospital Blood Bank,Assam,CACHAR,Silchar,"Krishnapur Medical Road, Ghungoor, Silchar",788014,03842 229103,9435076209,N/A,N/A,bloodbanksmch@gmail.com,http://www.smcassam.gov.in/,Dr.Sumita Dutta Gupta,9435076209,9435170206,drsumitadg@gmail.com,"MBBS, MD (Pathologist)",Government,YES,NO,24 x 7,84/DR/Mfg/Blood,4/1/2012,2017,24.775578,92.794251
596,Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,Gurugram,"A unit of Fortis Hospitals Limited, Sector - 44, Opposite HUDA City Centre, Gurugram",122002,"0124 4962244, 0124 716 2200","08376908523, 08587099908",,,bloodbank.fmri@fortishealthcare.com,https://www.fmri.in/,Dr. Nabajyoti Choudhury,,8376908523,bloodbank.fmri@fortishospital.com,,Private,YES,,24X7,,,,28.456975,77.07299
925,Raichur Institute of Medical Sciences Teaching Hospital (RIMS) Blood Bank,Karnataka,RAICHUR,Raichur,Rajendra Gunj,584101,,9972777381,,08532 238489,,http://www.rims-raichur.com/,Dr. N. Prasanna Kumar,08532 238788,9972777381,,Pathologist,Private,YES,NO,24x7,KTK/28C-269/2014,7/1/2014,6/1/2019,16.229892,77.35936
1380,Cumbala Hill Hospital And Heart Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"93-95, August Kranti Maidan, Mumbai",400036,"022 23803674, 022 23803336, 022 23514740, 022 23511551",9821097083,,,,,Dr. Vivek G. Shirguppi,"022 23803674, 022 23803336",9892845140,"vivekshirguppi@yahoo.co.in, chh@vsnl.com",MD (Pathalogy),Charity,YES,,24x7,1078,1/1/2002,Applied for renewal,0,0
2116,Government Hospital Blood Bank,Tamil Nadu,PUDUKKOTTAI,Pudukkottai,"The Medical Officer,  Taluk Government  Hospital, Aranthangi",616614,04371 270544,7639364928,N/A,N/A,aranthangibb@gmail.com,,Dr. P.L. Subramaniyam,N/A,9487438826,aranthangibb@gmail.com,MBBS,Government,NO,NO,24x7,237,6/4/2004,5/4/2014,10.180049,79.000136
354,bilasa blood bank rajnandgaon,Chhattisgarh,RAJNANDGAON,Rajnandgaon,District hospital premises,491441,,,,,,,Dr.Sohadra Thakur,,9425557320,drrameshchandrakar@gmail.com,,Government,NO,,,,,,0,0
2660,Hind Blood Bank And Component Center,Uttar Pradesh,SITAPUR,Sitapur,Atariya,,0522-4927277,9415022105,,,,,Dr.Richa Mishra,0522-4927277,"941,502,210,509,415,000,000",,,Charity,YES,NO,24*7,UP/B&BP/2015/02,25-02-2015,24-02-2020,0,0
