bank_id,blood_group,component,units,is_demo_data,generated_at
6,A-,Whole Blood,41,true,2024-01-15T10:00:00Z
6,B+,Whole Blood,0,true,2024-01-15T10:00:00Z
6,B-,Whole Blood,42,true,2024-01-15T10:00:00Z
6,AB+,Whole Blood,7,true,2024-01-15T10:00:00Z
6,AB-,Whole Blood,47,true,2024-01-15T10:00:00Z
6,O+,Whole Blood,27,true,2024-01-15T10:00:00Z
6,O-,Whole Blood,31,true,2024-01-15T10:00:00Z
7,A+,Whole Blood,3,true,2024-01-15T10:00:00Z
7,A-,Whole Blood,37,true,2024-01-15T10:00:00Z
7,B+,Whole Blood,26,true,2024-01-15T10:00:00Z
7,B-,Whole Blood,12,true,2024-01-15T10:00:00Z
7,AB+,Whole Blood,20,true,2024-01-15T10:00:00Z
7,AB-,Whole Blood,5,true,2024-01-15T10:00:00Z
7,O+,Whole Blood,34,true,2024-01-15T10:00:00Z
7,O-,Whole Blood,46,true,2024-01-15T10:00:00Z
8,A+,Whole Blood,17,true,2024-01-15T10:00:00Z
8,A-,Whole Blood,9,true,2024-01-15T10:00:00Z
8,B+,Whole Blood,8,true,2024-01-15T10:00:00Z
8,B-,Whole Blood,1,true,2024-01-15T10:00:00Z
8,AB+,Whole Blood,41,true,2024-01-15T10:00:00Z
8,AB-,Whole Blood,23,true,2024-01-15T10:00:00Z
8,O+,Whole Blood,47,true,2024-01-15T10:00:00Z
8,O-,Whole Blood,16,true,2024-01-15T10:00:00Z
9,A+,Whole Blood,30,true,2024-01-15T10:00:00Z
9,A-,Whole Blood,6,true,2024-01-15T10:00:00Z
9,B+,Whole Blood,16,true,2024-01-15T10:00:00Z
9,B-,Whole Blood,50,true,2024-01-15T10:00:00Z
9,AB+,Whole Blood,14,true,2024-01-15T10:00:00Z
9,AB-,Whole Blood,17,true,2024-01-15T10:00:00Z
9,O+,Whole Blood,24,true,2024-01-15T10:00:00Z
9,O-,Whole Blood,25,true,2024-01-15T10:00:00Z
10,A+,Whole Blood,14,true,2024-01-15T10:00:00Z
10,A-,Whole Blood,45,true,2024-01-15T10:00:00Z
10,B+,Whole Blood,9,true,2024-01-15T10:00:00Z
10,B-,Whole Blood,32,true,2024-01-15T10:00:00Z
10,AB+,Whole Blood,0,true,2024-01-15T10:00:00Z
10,AB-,Whole Blood,4,true,2024-01-15T10:00:00Z
10,O+,Whole Blood,2,true,2024-01-15T10:00:00Z
10,O-,Whole Blood,48,true,2024-01-15T10:00:00Z
11,A+,Whole Blood,1,true,2024-01-15T10:00:00Z
11,A-,Whole Blood,13,true,2024-01-15T10:00:00Z
11,B+,Whole Blood,2,true,2024-01-15T10:00:00Z
11,B-,Whole Blood,4,true,2024-01-15T10:00:00Z
11,AB+,Whole Blood,49,true,2024-01-15T10:00:00Z
11,AB-,Whole Blood,16,true,2024-01-15T10:00:00Z
11,O+,Whole Blood,25,true,2024-01-15T10:00:00Z
11,O-,Whole Blood,31,true,2024-01-15T10:00:00Z
12,A+,Whole Blood,27,true,2024-01-15T10:00:00Z
12,A-,Whole Blood,14,true,2024-01-15T10:00:00Z
12,B+,Whole Blood,47,true,2024-01-15T10:00:00Z
12,B-,Whole Blood,19,true,2024-01-15T10:00:00Z
12,AB+,Whole Blood,25,true,2024-01-15T10:00:00Z
12,AB-,Whole Blood,10,true,2024-01-15T10:00:00Z
12,O+,Whole Blood,31,true,2024-01-15T10:00:00Z
12,O-,Whole Blood,43,true,2024-01-15T10:00:00Z
13,A+,Whole Blood,12,true,2024-01-15T10:00:00Z
13,A-,Whole Blood,30,true,2024-01-15T10:00:00Z
13,B+,Whole Blood,43,true,2024-01-15T10:00:00Z
13,B-,Whole Blood,1,true,2024-01-15T10:00:00Z
13,AB+,Whole Blood,7,true,2024-01-15T10:00:00Z
13,AB-,Whole Blood,25,true,2024-01-15T10:00:00Z
13,O+,Whole Blood,8,true,2024-01-15T10:00:00Z
13,O-,Whole Blood,17,true,2024-01-15T10:00:00Z
14,A+,Whole Blood,46,true,2024-01-15T10:00:00Z
14,A-,Whole Blood,1,true,2024-01-15T10:00:00Z
14,B+,Whole Blood,16,true,2024-01-15T10:00:00Z
14,B-,Whole Blood,2,true,2024-01-15T10:00:00Z
14,AB+,Whole Blood,35,true,2024-01-15T10:00:00Z
14,AB-,Whole Blood,7,true,2024-01-15T10:00:00Z
14,O+,Whole Blood,2,true,2024-01-15T10:00:00Z
14,O-,Whole Blood,14,true,2024-01-15T10:00:00Z
15,A+,Whole Blood,4,true,2024-01-15T10:00:00Z
15,A-,Whole Blood,7,true,2024-01-15T10:00:00Z
15,B+,Whole Blood,47,true,2024-01-15T10:00:00Z
15,B-,Whole Blood,7,true,2024-01-15T10:00:00Z
15,AB+,Whole Blood,13,true,2024-01-15T10:00:00Z
15,AB-,Whole Blood,37,true,2024-01-15T10:00:00Z
15,O+,Whole Blood,4,true,2024-01-15T10:00:00Z
15,O-,Whole Blood,1,true,2024-01-15T10:00:00Z
16,A+,Whole Blood,28,true,2024-01-15T10:00:00Z
16,A-,Whole Blood,31,true,2024-01-15T10:00:00Z
16,B+,Whole Blood,46,true,2024-01-15T10:00:00Z
16,B-,Whole Blood,41,true,2024-01-15T10:00:00Z
16,AB+,Whole Blood,18,true,2024-01-15T10:00:00Z
16,AB-,Whole Blood,24,true,2024-01-15T10:00:00Z
16,O+,Whole Blood,25,true,2024-01-15T10:00:00Z
16,O-,Whole Blood,34,true,2024-01-15T10:00:00Z
17,A+,Whole Blood,38,true,2024-01-15T10:00:00Z
17,A-,Whole Blood,46,true,2024-01-15T10:00:00Z
17,B+,Whole Blood,24,true,2024-01-15T10:00:00Z
17,B-,Whole Blood,11,true,2024-01-15T10:00:00Z
17,AB+,Whole Blood,41,true,2024-01-15T10:00:00Z
17,AB-,Whole Blood,17,true,2024-01-15T10:00:00Z
17,O+,Whole Blood,24,true,2024-01-15T10:00:00Z
17,O-,Whole Blood,3,true,2024-01-15T10:00:00Z
18,A+,Whole Blood,47,true,2024-01-15T10:00:00Z
18,A-,Whole Blood,2,true,2024-01-15T10:00:00Z
18,B+,Whole Blood,44,true,2024-01-15T10:00:00Z
18,B-,Whole Blood,16,true,2024-01-15T10:00:00Z
18,AB+,Whole Blood,33,true,2024-01-15T10:00:00Z
18,AB-,Whole Blood,30,true,2024-01-15T10:00:00Z
18,O+,Whole Blood,13,true,2024-01-15T10:00:00Z
18,O-,Whole Blood,2,true,2024-01-15T10:00:00Z
19,A+,Whole Blood,43,true,2024-01-15T10:00:00Z
19,A-,Whole Blood,2,true,2024-01-15T10:00:00Z
19,B+,Whole Blood,10,true,2024-01-15T10:00:00Z
19,B-,Whole Blood,14,true,2024-01-15T10:00:00Z
19,AB+,Whole Blood,5,true,2024-01-15T10:00:00Z
19,AB-,Whole Blood,36,true,2024-01-15T10:00:00Z
19,O+,Whole Blood,16,true,2024-01-15T10:00:00Z
19,O-,Whole Blood,23,true,2024-01-15T10:00:00Z
20,A+,Whole Blood,24,true,2024-01-15T10:00:00Z
20,A-,Whole Blood,10,true,2024-01-15T10:00:00Z
20,B+,Whole Blood,49,true,2024-01-15T10:00:00Z
20,B-,Whole Blood,36,true,2024-01-15T10:00:00Z
20,AB+,Whole Blood,27,true,2024-01-15T10:00:00Z
20,AB-,Whole Blood,34,true,2024-01-15T10:00:00Z
20,O+,Whole Blood,37,true,2024-01-15T10:00:00Z
20,O-,Whole Blood,26,true,2024-01-15T10:00:00Z
21,A+,Whole Blood,11,true,2024-01-15T10:00:00Z
21,A-,Whole Blood,27,true,2024-01-15T10:00:00Z
21,B+,Whole Blood,9,true,2024-01-15T10:00:00Z
21,B-,Whole Blood,22,true,2024-01-15T10:00:00Z
21,AB+,Whole Blood,27,true,2024-01-15T10:00:00Z
21,AB-,Whole Blood,31,true,2024-01-15T10:00:00Z
21,O+,Whole Blood,26,true,2024-01-15T10:00:00Z
21,O-,Whole Blood,11,true,2024-01-15T10:00:00Z
22,A+,Whole Blood,33,true,2024-01-15T10:00:00Z
22,A-,Whole Blood,39,true,2024-01-15T10:00:00Z
22,B+,Whole Blood,47,true,2024-01-15T10:00:00Z
22,B-,Whole Blood,19,true,2024-01-15T10:00:00Z
22,AB+,Whole Blood,8,true,2024-01-15T10:00:00Z
22,AB-,Whole Blood,15,true,2024-01-15T10:00:00Z
22,O+,Whole Blood,42,true,2024-01-15T10:00:00Z
22,O-,Whole Blood,19,true,2024-01-15T10:00:00Z
23,A+,Whole Blood,9,true,2024-01-15T10:00:00Z
23,A-,Whole Blood,24,true,2024-01-15T10:00:00Z
23,B+,Whole Blood,44,true,2024-01-15T10:00:00Z
23,B-,Whole Blood,24,true,2024-01-15T10:00:00Z
23,AB+,Whole Blood,28,true,2024-01-15T10:00:00Z
23,AB-,Whole Blood,6,true,2024-01-15T10:00:00Z
23,O+,Whole Blood,24,true,2024-01-15T10:00:00Z
23,O-,Whole Blood,20,true,2024-01-15T10:00:00Z
24,A+,Whole Blood,21,true,2024-01-15T10:00:00Z
24,A-,Whole Blood,33,true,2024-01-15T10:00:00Z
24,B+,Whole Blood,22,true,2024-01-15T10:00:00Z
24,B-,Whole Blood,14,true,2024-01-15T10:00:00Z
24,AB+,Whole Blood,28,true,2024-01-15T10:00:00Z
24,AB-,Whole Blood,0,true,2024-01-15T10:00:00Z
24,O+,Whole Blood,25,true,2024-01-15T10:00:00Z
24,O-,Whole Blood,5,true,2024-01-15T10:00:00Z
25,A+,Whole Blood,33,true,2024-01-15T10:00:00Z
25,A-,Whole Blood,7,true,2024-01-15T10:00:00Z
25,B+,Whole Blood,38,true,2024-01-15T10:00:00Z
25,B-,Whole Blood,42,true,2024-01-15T10:00:00Z
25,AB+,Whole Blood,2,true,2024-01-15T10:00:00Z
25,AB-,Whole Blood,25,true,2024-01-15T10:00:00Z
25,O+,Whole Blood,19,true,2024-01-15T10:00:00Z
25,O-,Whole Blood,27,true,2024-01-15T10:00:00Z
26,A+,Whole Blood,46,true,2024-01-15T10:00:00Z
26,A-,Whole Blood,22,true,2024-01-15T10:00:00Z
26,B+,Whole Blood,13,true,2024-01-15T10:00:00Z
26,B-,Whole Blood,11,true,2024-01-15T10:00:00Z
26,AB+,Whole Blood,1,true,2024-01-15T10:00:00Z
26,AB-,Whole Blood,28,true,2024-01-15T10:00:00Z
26,O+,Whole Blood,33,true,2024-01-15T10:00:00Z
26,O-,Whole Blood,28,true,2024-01-15T10:00:00Z
27,A+,Whole Blood,28,true,2024-01-15T10:00:00Z
27,A-,Whole Blood,11,true,2024-01-15T10:00:00Z
27,B+,Whole Blood,24,true,2024-01-15T10:00:00Z
27,B-,Whole Blood,32,true,2024-01-15T10:00:00Z
27,AB+,Whole Blood,16,true,2024-01-15T10:00:00Z
27,AB-,Whole Blood,23,true,2024-01-15T10:00:00Z
27,O+,Whole Blood,40,true,2024-01-15T10:00:00Z
27,O-,Whole Blood,13,true,2024-01-15T10:00:00Z
28,A+,Whole Blood,39,true,2024-01-15T10:00:00Z
28,A-,Whole Blood,44,true,2024-01-15T10:00:00Z
28,B+,Whole Blood,42,true,2024-01-15T10:00:00Z
28,B-,Whole Blood,7,true,2024-01-15T10:00:00Z
28,AB+,Whole Blood,49,true,2024-01-15T10:00:00Z
28,AB-,Whole Blood,2,true,2024-01-15T10:00:00Z
28,O+,Whole Blood,3,true,2024-01-15T10:00:00Z
28,O-,Whole Blood,45,true,2024-01-15T10:00:00Z
